release_speed,launch_angle,launch_speed,bat_speed,swing_length,pitch_type,balls,strikes,stand,p_throws,estimated_woba_using_speedangle,hit_outcome
95.9,-1.0,94.8,60.2,5.8,SI,1,0,R,L,0.282,1
84.6,16.0,101.7,70.0,7.5,SL,1,0,R,R,0.566,1
94.9,14.0,109.6,75.1,6.7,FF,2,2,R,R,0.794,1
92.8,2.0,80.3,70.3,6.4,FF,2,2,R,L,0.22,1
95.1,28.0,102.3,73.1,7.3,FF,3,2,R,R,1.2214651162790702,3
80.4,14.0,104.8,72.6,7.9,KC,0,2,R,R,0.795,2
94.6,12.0,110.0,75.3,7.6,FF,0,0,R,R,0.915,1
89.7,35.0,103.6,77.3,7.7,FC,2,2,L,R,1.266185185185185,3
86.7,3.0,74.0,79.3,7.9,SL,2,1,R,R,0.138,2
95.1,19.0,88.7,73.2,7.3,SI,1,1,R,R,0.501,1
88.9,16.0,86.7,69.5,7.5,SL,0,1,R,R,0.908,1
77.1,18.0,81.3,57.3,7.5,KC,2,2,R,R,0.926,1
83.8,13.0,100.1,68.6,7.6,SL,0,2,L,R,0.901,1
92.1,14.0,83.0,68.2,6.6,SI,1,0,L,L,0.79,1
80.5,18.0,116.5,80.0,7.9,CU,1,0,L,L,1.563,1
94.9,11.0,90.0,66.3,5.9,FF,1,2,R,L,0.591,1
84.5,8.0,100.4,69.4,7.5,CH,1,2,R,L,0.618,1
96.7,17.0,90.8,72.5,7.2,SI,1,0,L,R,0.675,1
90.7,-15.0,102.4,77.0,8.2,FC,0,0,L,R,0.226,1
92.0,18.0,87.9,71.4,6.6,FC,2,1,L,R,0.768,1
79.8,-5.0,94.8,65.6,6.9,CU,1,2,R,L,0.253,1
91.2,14.0,105.9,74.0,7.0,SI,0,0,L,L,0.801,2
94.8,20.0,54.3,65.6,5.9,SI,0,1,R,R,0.147,1
89.6,-20.0,92.0,67.2,7.8,CH,1,1,L,R,0.119,1
96.4,15.0,95.7,66.5,6.1,FF,2,0,L,R,0.759,1
95.2,24.0,107.0,75.4,6.9,FF,1,1,L,R,1.6922499999999998,2
91.0,22.0,84.9,71.2,8.0,SL,2,1,L,R,0.42,1
97.0,14.0,106.0,70.3,7.1,FF,2,2,R,R,0.801,1
95.6,21.0,82.6,71.6,6.9,FF,1,1,R,L,0.621,2
96.9,35.0,107.7,74.9,7.2,SI,0,0,R,L,1.755125,3
88.9,-32.0,42.0,61.8,8.3,CH,1,2,R,L,0.229,1
97.9,8.0,98.0,70.96666666666668,6.466666666666666,FF,1,1,L,L,0.603,1
96.3,-6.0,99.6,71.9,7.066666666666666,SI,0,1,L,L,0.298,1
96.5,23.0,101.7,77.5,7.8,FF,3,1,L,R,0.939409090909091,1
95.5,25.0,99.6,71.7,7.0,FF,3,2,R,R,0.8341818181818182,2
88.2,17.0,101.1,72.6,7.8,SL,0,0,R,L,0.537,1
80.2,24.0,88.9,70.6,6.3,SL,0,0,L,L,0.14,2
97.5,3.0,94.1,64.4,6.9,FF,1,2,L,L,0.412,1
87.7,4.0,106.5,75.5,7.4,CH,3,2,R,R,0.576,1
86.5,25.0,108.8,79.5,8.1,SL,2,1,R,R,1.9301290322580644,3
96.5,18.0,93.7,65.9,6.4,FF,0,0,L,R,0.501,1
97.3,0.0,101.7,70.8,6.8,FF,1,2,R,R,0.41,1
94.7,36.0,109.2,74.0,7.6,FF,0,0,R,R,1.806,3
94.8,7.0,101.1,77.0,7.2,SI,0,0,L,R,0.605,1
77.9,-2.0,100.9,76.1,7.5,KC,0,0,R,R,0.373,1
98.5,20.0,100.7,73.6,7.3,FF,0,2,L,R,0.487,2
90.2,14.0,92.3,72.1,7.2,SL,1,2,R,R,0.913,1
91.8,12.0,92.8,71.9,7.2,FC,0,1,R,R,0.796,1
99.8,-3.0,116.9,81.3,8.7,FF,2,2,R,R,0.455,1
98.6,16.0,115.5,79.5,7.9,SI,2,1,R,R,0.93775,2
96.3,13.0,98.9,65.9,6.3,SI,0,1,R,R,0.902,1
94.9,9.0,108.5,74.8,7.4,SI,2,1,R,R,0.751,1
95.0,10.0,86.7,70.0,6.7,FF,1,1,R,R,0.495,1
93.8,1.0,105.7,76.2,7.2,FF,0,1,R,R,0.471,1
92.3,10.0,109.9,73.6,7.0,FC,2,1,R,R,0.922,1
89.2,-6.0,110.5,77.5,7.3,FC,3,2,R,R,0.327,2
94.9,-7.0,105.9,78.7,7.1,FF,0,1,L,R,0.35,1
